key,b_star_traditional,b_star_ml,skip_list_traditional,skip_list_ml
7484374,1.1,0.7,4.9,4.4
7498310,0.6,0.4,1.8,2.5
7506228,0.5,0.3,2.7,1.7
7501868,0.4,0.5,1.8,1.8
7482276,0.5,0.3,0.8,0.9
7503358,0.4,0.3,1.8,1.1
7508217,0.4,0.1,2,1.6
7481775,0.4,0.1,0.4,1.1
7510127,0.3,0.1,2.8,1.3
7503357,1.1,0,0.2,0.1
7493294,0.5,0.9,1.6,0.3
7493102,0.6,0.4,0.2,1.6
7499833,0.4,0.4,1.3,0.9
7501407,0.3,0.3,0.6,1
7486735,0.3,0.3,3,1
7492216,0.3,0.3,1.9,0.8
7501680,0.4,0.1,0.5,0.7
7487541,16.2,0.3,1.5,1
7506554,0.5,0.2,0.7,0.5
7480021,0.7,0.2,1.6,2.2
7487543,0.1,0.1,0.2,0.1
7485273,0.3,0.2,0.9,1
7488652,0.6,0.4,2,0.9
7493683,0.5,0.2,1.1,0.8
7478484,0.4,0.3,3.1,0.6
7487868,0.7,0.2,1.2,0.7
7501008,0.4,0.3,1.6,0.9
7479589,0.5,0.4,0.4,0.8
7476916,0.7,0.4,1.6,1.3
7508447,0.4,0.3,0.5,0.8
7500838,0.2,0.3,1.1,0.5
7477856,0.5,0.5,0.6,1
7490891,0.5,0.3,1.1,0.9
7513372,0.6,0.3,1.7,1.3
7480689,0.5,0.2,0.7,0.8
7502440,0.4,0.2,0.9,0.9
7483221,0.7,0.3,0.7,1.3
7500342,0.7,0.2,0.3,0.9
7494075,0.7,0.2,0.8,1
7509293,0.4,0.3,1.7,0.9
7493441,0.3,0.2,0.3,0.5
7491993,0.6,0.2,0.9,1.2
7502197,0.5,0.3,0.2,0.7
7505915,0.3,0.1,0.6,0.5
7490264,0.3,0.1,1,1.2
7510050,0.2,0.2,0.3,0.6
7477128,0.4,0.2,0.5,0.5
7484313,0.5,0.2,0.2,0.5
7478814,0.6,0.2,0.8,0.7
7496900,0.4,0.2,1.6,1.7
7504637,0.4,0.2,2.5,0.8
7509163,0.4,0.2,0.6,1
7497748,0.4,0.3,1.3,0.9
7484250,0.3,0.2,0.4,0.3
7497208,0.4,0.1,0.9,0.9
7483959,0.6,0.2,1,0.4
7479588,0.1,0.1,0.2,0.2
7506974,0.4,0.2,1,0.9
7479728,0.4,0.2,0.4,0.6
7477236,0.1,0.2,0.3,0.6
7476592,0.4,0.1,0.3,0.4
7480984,0.5,0.1,0.8,0.7
7507094,0.4,0.2,0.8,0.5
7503664,0.5,0.1,0.6,0.7
7475986,0.8,0.6,1.7,1.1
7486151,0.4,0.2,1,1.5
7508611,0.4,0.2,0.6,0.7
7484824,0.4,0.2,1.2,0.6
7505089,0.3,0.3,1.2,1
7496472,0.5,0.3,1.7,0.3
7493503,0.1,0.2,0.4,0.3
7501783,0.1,0.4,0.5,0.3
7485622,0.4,0.2,0.6,0.8
7506627,0.4,0.2,0.5,0.5
7509007,0.5,0.2,0.5,0.6
7492897,0.5,0.1,0.1,0.5
7497747,0.2,0,0.2,0.1
7492555,0.4,0.2,0.9,0.6
7510784,0.6,0.3,1.4,1.4
7492359,0.2,0.3,0.5,0.5
7481628,0.3,0.2,1,0.9
7484755,0.2,0.2,0.2,0.9
7478622,0.5,0.1,0.5,0.3
